14:00:50.492; 105; MiniFactory/Right/Factory/LineStatus/Data; {'Line2s': {'self': {'state': 'GR1', 'product_at': None}, 'GR1': {'status': 'INIT'}}}
14:00:50.652; 106; MiniFactory/Right/Factory/LineStatus/Data; {'Line2s': {'self': {'state': 'GR1', 'product_at': None}, 'GR1': {'status': 'TO_DESTINATION'}}}
14:00:52.293; 107; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'GR3', 'product_at': 'CB5'}, 'CB5': {'status': 'END'}, 'GR3': {'status': 'TO_DESTINATION'}}}
14:00:52.348; 108; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'GR3', 'product_at': 'CB5'}, 'CB5': {'status': 'END'}, 'GR3': {'status': 'GET_PRODUCT'}}}
14:00:53.861; 109; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'GR3', 'product_at': 'CB5'}, 'CB5': {'status': 'END'}, 'GR3': {'status': 'GRIPPING'}}}
14:00:56.085; 110; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'GR3', 'product_at': 'GR3'}, 'CB5': {'status': 'END'}, 'GR3': {'status': 'GRIPPING'}}}
14:00:56.139; 111; MiniFactory/Right/Factory/MachineStatus/Data; {'CB5': ['FREE', 'None']}
14:00:56.140; 112; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'GR3', 'product_at': 'GR3'}, 'GR3': {'status': 'MOVING'}}}
14:00:59.214; 113; MiniFactory/Right/Factory/LineStatus/Data; {'Line2s': {'self': {'state': 'GR1', 'product_at': None}, 'GR1': {'status': 'GRIPPING'}}}
14:01:00.015; 114; MiniFactory/Right/Factory/LineStatus/Data; {'Line2s': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'GRIPPING'}}}
14:01:00.071; 115; MiniFactory/Right/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'MPS': {'status': 'TO_SAW'}}}
14:01:00.071; 116; MiniFactory/Right/Factory/LineStatus/Data; {'Line2s': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'TO_DESTINATION'}}}
14:01:01.630; 117; MiniFactory/Right/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'MPS': {'status': 'SAWING'}}}
